text,sentiment
 - It is supposed to be an unrelated (story-wise) new part of the Fallout series they`re working on... Only the name is out,negative
homework on a friday night...lame,negative
gutted - the handbag I wanted has been sold!,negative
i miss 'mr.',negative
 me too i hate revision,negative
sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend,negative
"Got fully denied tonight  sleep time now, lnd in morn!",negative
Ugh feeling sick to my stomach and I have five more hours of work to go,negative
Dell FX100 Pc-over-IP audio device (Teradici) is giving me a hard time in #Linux #Ubuntu Jaunty  Kernel isnt loading the snd-hda-intel drv,negative
 hey you ****!! that`s kinda mean dont yu think?!,negative
" I so agree with you we have been married for 7 yrs, and this is our 6th move  BLAH!!!",negative
 nope no love,negative
Using my old phone!  gosh! I miss this phone!,negative
 *is bad ****...He still is,negative
 Yep...sadly I only had 10 min before a meeting!,negative
getting ready for work. boohoohoo i dont wanna go to work!,negative
Will miss nostalgia ... everyone please kick tushar,negative
dang last url went down  ? http://blip.fm/~7aigm,negative
i really miss my satan kitty,negative
"have to stay away from home, and since this part of india dnt hav gud wireless internet, im ****",negative
Going crazy  super head ach from hell and my the in laws have ben here since 9 this morning. ahhhh,negative
**** everything,negative
really hopes her car`s illness is not terminal...,negative
Wtf why am i JUST getting up now? HM:TM today  but before that... revision revision revision :/,negative
"I am in school. Absolutely I have been sick .. I want to go home - we are writing of geography, the best it will",negative
"this is the worst day ever, i`ve been told im a chav",negative
24 hours and $400 later and I hav a new telecom phone that dosent work.  Stupid telecom,negative
chili cheese fries a bad idea for lunch..,negative
what?! i just missed home + away! nooooooooo,negative
" Sorry, that was a bit negative!",negative
 guys why did paranoid drop out of the countdown?? thats so not fair  iv voted heaps for it!!!!!,negative
 I cnt get it!! its goin to ur old messages?!?  >>>> HELP?<<<<,negative
"Going to REtake my Softball photo because Patrick`s Studio is a piece of ****. Back here for chores. Some Friday, huh?",negative
i`m hungry but can`t eat anything right now because my tongue hurts so bad.,negative
i REALLY miss my photofiltre and photoscape  GIMP is too **** confusing,negative
"wanna b marie antoinette, cos she had perfect hairdo, fab clothes, n tons of macarons.  Crappy day",negative
 i miss yoooooooou my poia,negative
() My chick wont shut up  Will only stop chirping if i sit with the bloody thing.,negative
is terrible at saving money..,negative
gettin ready to put on a show  ugh i really hope ppl dont comee,negative
So annoyed I missed Mitch Benn @ Lemon Tree. **** you What`s On!,negative
 Sorry we couldn`t get the project working with the windoze laptop  but a ton of folks came up afterwards and saw it running,negative
" oh no!  thats no good! I pierced  my bottom lip on the right side...myself in 12th grade, but we had a no piercings dress code",negative
"TGIF I don`t like 12 hour workdays  I need to stand up, run around 4 a while.... too much sitting!!! Plus, I have honest ade tea 2day! YAY",negative
PayPal hates me.  It refuses to let me verify my account.,negative
 everything is your fault moxy...everything.   x,negative
i have sore throat. that`s suck.,negative
"  ....what did she EVER do to piss them off?    I thought you just meant casting-related ****, not more of that ****.",negative
Another day I haven`t got time to play plus it`s raining and chilly And also have a headache - WTH? . . going back to sulking mode.,negative
http://twitpic.com/66vdn - I miss my babyyy,negative
"Sore throat coming,and recording about to start for new citipointe EP album! ARGGHHH!!!  prayers needed",negative
 living quite so close to RAF boulmer that might not be a good thing,negative
Who builds a hotel without air-con? Bloody boiling in here...,negative
"Hot ****, I`m at **** Disneyland!",negative
crashing from my WI high...missing mayfield,negative
wishes he can just call her.  blah. it used to be so easy to move on. wtf happened?,negative
I can`t believe how tired I am right now... I don`t know if I can go out tonight...   Exhaaaausted!!,negative
I totally forgot thats its friday till I read `s tweet. Ha. I feel dumb  *Take A Breath*,negative
Ugly betty was sooooooo sad!!!,negative
" heh, you seem to have a complex about your iPhone jealousy. This self-denial is harmful! Just let it out.",negative
grrh  wii remote dead.. no multiplayer here tonight,negative
Ok... No one was interested in my special.   Now the popcorn is stale! What a waste. I`m going to find a homeless person to give it to ...,negative
is feeling her eyes burned-fried after 10 hours attached to the screen uploading new summer clothing for my store www.Chittypulga.com,negative
Borrowing my Mom`s Lenovo laptop The trackpad and the battery life suck balls for quarters. Seriously missing my MacBook Pro,negative
i cant afford it  go to school here ? !!,negative
my sister is a douchebag,negative
 I dunno...I thought I was funny,negative
"I also think that I`m talking to myself now. Okay I need to get to bed. BTW, I miss my brothers.",negative
Oh..I`m so borin`.. why not play the computer?? My mom`s say: because your makin` task..!!,negative
has a headaaaaaaaaaaaache,negative
falling asleep and waking to gun shots arent fun,negative
"Over-thought tying my shoe, couldn`t figure it out for a while",negative
"Got pulled over by a cop, got a warning",negative
would like a hug and a kiss from Eric. Long distances really really stink,negative
Lula is not feeling well.  http://tinyurl.com/m8kcsq,negative
watching The Biggest Loser on Hallmark. Never fails to make me cry  nyeh.,negative
i want to see ephraim zenh tomorrow! a lot. but can i find a sitter? wtf? why does everyone have plans? it`s only saturday night...sigh.,negative
I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,negative
 useless tweet! LOL jk yay!!! You`re coming tmr! How long u gnna be in phils for  ?,negative
 POOOOOOOOR SHEEEEP!!!,negative
 I am so sorry!!  That really sucks,negative
I cut my thumb on a broken coffee pot.,negative
"would like june the nineteenth to hurry it self up, as she is waiting very impatiently to see wes carr",negative
 Jz local movie here. The title`s virgin 2 :p actually i feel not so good. So tired n dizzy,negative
"going to my bff`s. haha. but thats in like 2 hourssss sooooo...calllll me. actually darn, i have hw",negative
is going home... I`ve seriously had enough,negative
its too sunny for work  !!!,negative
 that sounds like the scariest zombie dream ever.,negative
webcam still wont work  evil stuffs.,negative
 nope  i`m bored and hungry.,negative
I am beginning to think sun blcok is a haox.,negative
off to work! missing out on all the sunshine!,negative
_watkins Oh my gosh ian i always miss you when your on,negative
